fruit,price,grade,supplier,updated
orange_easy_peel_family_0963,2.38,A,S022,2026-04-24
mango_kent_value_0964,5.33,A,S029,2026-04-24
grapes_red_box_0965,4.67,A,S036,2026-04-24
pear_packham_single_0966,2.50,B,S043,2026-04-24
kiwi_gold_organic_0967,4.11,A,S050,2026-04-24
strawberry_premium_premium_0968,5.56,A,S057,2026-04-24
blueberry_organic_kg_0969,6.88,C,S064,2026-04-24
pineapple_whole_family_0970,3.51,A,S071,2026-04-24
watermelon_slice_pack_value_0971,3.79,C,S078,2026-04-24
raspberry_uk_box_0972,6.71,B,S085,2026-04-24
cherry_turkish_single_0973,7.41,A,S092,2026-04-24
plum_black_organic_0974,3.17,B,S099,2026-04-24
peach_yellow_premium_0975,3.31,B,S106,2026-04-24
apricot_premium_kg_0976,4.49,B,S113,2026-04-24
papaya_green_family_0977,4.83,B,S120,2026-04-24
pomegranate_imported_value_0978,4.17,B,S007,2026-04-24
lime_organic_box_0979,2.22,A,S014,2026-04-24
lemon_standard_single_0980,2.58,A,S021,2026-04-24
apple_granny_smith_organic_0981,2.90,A,S028,2026-04-24
banana_organic_premium_0982,1.30,B,S035,2026-04-24
orange_easy_peel_kg_0983,2.22,B,S042,2026-04-24
mango_kent_family_0984,5.89,B,S049,2026-04-24
grapes_red_value_0985,4.34,A,S056,2026-04-24
pear_packham_box_0986,2.88,B,S063,2026-04-24
kiwi_gold_single_0987,3.66,C,S070,2026-04-24
strawberry_premium_organic_0988,5.20,B,S077,2026-04-24
blueberry_organic_premium_0989,6.12,B,S084,2026-04-24
pineapple_whole_kg_0990,3.16,C,S091,2026-04-24
